name,type,period_start,period_end,commits,commit_ratio,added_lines,added_lines_ratio,deleted_lines,deleted_lines_ratio,add_minus_del,add_minus_del_ratio,contributors,contributor_ratio,files,files_ratio
https://github.com/mvdbos/php-spider,overall,2025-12-01T11:27:23+00:00,2026-02-22T14:08:38.315791+00:00,90,85.556,7917,90.577,4415,99.185,3502,79.726,5,40.0,84,91.667
https://github.com/nakaokarei/swiftautogui,overall,2025-07-06T00:09:28+00:00,2026-02-20T22:46:53.894695+00:00,96,77.083,13103,85.034,3365,74.621,9738,88.632,4,75.0,66,98.485
https://github.com/naver/lispe,overall,2025-01-07T14:23:48+00:00,2026-02-23T14:00:57.374687+00:00,108,100.0,84167,100.0,159186,100.0,-75019,100.0,2,100.0,289,100.0
https://github.com/NB-Core/lotgd,overall,2025-06-16T14:59:19+00:00,2026-02-21T04:32:44.220715+00:00,1874,77.801,972757,13.692,437774,12.415,534983,14.737,7,57.143,8363,20.818
https://github.com/neonwatty/bleep-that-shit,overall,2025-08-31T17:44:19+00:00,2026-02-21T20:04:07.906137+00:00,209,75.12,92342,88.249,44256,90.193,48086,86.46,4,75.0,629,92.687
https://github.com/nkmr-jp/prompt-line,overall,2025-06-14T17:53:44+00:00,2026-02-22T10:37:36.176442+00:00,1056,88.636,420102,89.325,334321,94.562,85781,68.913,4,25.0,1138,97.891
https://github.com/nmakod/codecontext,overall,2025-07-10T16:50:03+00:00,2026-02-20T22:44:45.219493+00:00,82,93.902,75685,99.523,8780,98.998,66905,99.592,4,25.0,189,99.471
https://github.com/olen/lovelace-flower-card,overall,2026-01-27T08:22:10+00:00,2026-02-23T15:11:30.095393+00:00,55,89.091,6186,99.758,1362,99.266,4824,99.896,4,75.0,26,100.0
https://github.com/opalstack/installers,overall,2025-01-06T20:33:18+00:00,2026-02-21T06:14:11.255473+00:00,129,84.496,15239,97.9,8320,96.154,6919,100.0,3,33.333,35,68.571
https://github.com/Open-JDBC-Proxy/ojp,overall,2025-07-18T18:02:02+00:00,2026-02-22T10:51:25.214768+00:00,1424,76.334,319446,93.606,181844,91.846,137602,95.932,21,4.762,1006,92.147
https://github.com/openSVM/aeamcp,overall,2025-05-23T22:53:16+00:00,2026-02-21T06:38:13.858077+00:00,244,76.639,339362,41.789,63176,94.072,276186,29.83,4,25.0,721,55.201
https://github.com/openSVM/solana-mcp-server,overall,2025-05-23T23:05:08+00:00,2026-02-21T15:40:35.401874+00:00,123,91.87,86364,88.142,20538,96.455,65826,85.548,4,100.0,195,99.487
